method,variant,threads,steps,mean_time,mean_abs_err
integration,atomic,1,100000,0.000784,0.0014154086
integration,atomic,1,1000000,0.006928,0.0005587118
integration,atomic,1,10000000,0.068570,0.0001450738
integration,atomic,1,100000000,0.685736,0.0000183096
integration,atomic,2,100000,0.004693,0.0010467419
integration,atomic,2,1000000,0.045131,0.0005934220
integration,atomic,2,10000000,0.446791,0.0001412018
integration,atomic,2,100000000,4.477105,0.0000229289
integration,atomic,4,100000,0.008493,0.0011507419
integration,atomic,4,1000000,0.084270,0.0005998887
integration,atomic,4,10000000,0.785054,0.0001625951
integration,atomic,4,100000000,8.386331,0.0000295703
integration,atomic,8,100000,0.033193,0.0009547419
integration,atomic,8,1000000,0.105418,0.0004171771
integration,atomic,8,10000000,0.855850,0.0001804969
integration,atomic,8,100000000,9.102386,0.0000444891
integration,atomic,16,100000,0.012087,0.0009149188
integration,atomic,16,1000000,0.115033,0.0004250425
integration,atomic,16,10000000,1.143664,0.0001076254
integration,atomic,16,100000000,11.145453,0.0000444044
integration,atomic,32,100000,0.012028,0.0015343201
integration,atomic,32,1000000,0.113828,0.0004349758
integration,atomic,32,10000000,1.103397,0.0000986805
integration,atomic,32,100000000,10.933347,0.0000535680
integration,atomic,64,100000,0.025056,0.0015771637
integration,atomic,64,1000000,0.122199,0.0004128220
integration,atomic,64,10000000,1.102902,0.0001292369
integration,atomic,64,100000000,10.118452,0.0000446025
integration,atomic,128,100000,0.021986,0.0012427419
integration,atomic,128,1000000,0.132540,0.0004063758
integration,atomic,128,10000000,1.344519,0.0001421982
integration,atomic,128,100000000,13.562825,0.0000406202
