grid_size,block_size,ell_time
62451,32,0.00095518
62451,64,0.00117012
62451,128,0.00155203
62451,256,0.00187676
62451,512,0.00338271
31225,32,0.00048593
31225,64,0.00058850
31225,128,0.00078034
31225,256,0.00094604
31225,512,0.00170270
15612,32,0.00024843
15612,64,0.00030188
15612,128,0.00039844
15612,256,0.00048035
15612,512,0.00085725
7806,32,0.00013013
7806,64,0.00015670
7806,128,0.00020723
7806,256,0.00024782
7806,512,0.00043206
3903,32,0.00006868
3903,64,0.00009232
3903,128,0.00012067
3903,256,0.00012604
3903,512,0.00020009
